	X222	X223	X224	X225	X226	X228	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X250
bOTU_255	97.83215198	3708.730568	2488.882003	1867.908768	695.1022539	363.124092	255.3057115	618.5205949	294.087397	501.6356142	741.2819461	1284.701393	196.7181804	98.15272014	274.4073441	190.3408376	833.108907	0	194.072903	0	195.4355816	0	0	0	0	0	0
bOTU_418	97.83215198	1942.668393	257.4705521	649.7073976	973.1431554	726.2481841	510.611423	742.2247139	588.174794	167.2118714	593.0255569	856.4675956	196.7181804	98.15272014	0	285.5112565	740.5412507	194.3067287	291.1093545	286.9679803	0	173.5776354	0	0	0	609.0004634	0
bOTU_139	0	0	85.82351736	0	278.0409015	968.3309121	127.6528557	371.1123569	588.174794	501.6356142	0	4710.571776	786.8727216	883.3744812	548.8146881	571.0225129	2869.597346	388.6134575	291.1093545	478.2799672	293.1533723	173.5776354	106.3236728	0	75.18436328	304.5002317	0
bOTU_10	684.8250638	529.8186526	1373.176278	1136.987946	2919.429466	1210.41364	1531.834269	3711.123569	1960.582647	2173.754328	889.5383354	999.2121949	983.590902	2944.581604	274.4073441	856.5337694	925.6765634	291.4600931	776.291612	95.65599344	1954.355816	1041.465812	1807.502438	1560.677201	1353.318539	913.5006951	3729.935189
bOTU_534	195.664304	264.9093263	257.4705521	81.2134247	556.0818031	121.041364	127.6528557	247.408238	882.262191	501.6356142	148.2563892	428.2337978	295.0772706	98.15272014	0	190.3408376	1018.24422	777.226915	97.03645149	669.5919541	0	0	0	0	75.18436328	456.7503476	0
bOTU_6	195.664304	88.30310877	772.4116562	81.2134247	0	0	3318.974249	0	0	0	0	285.4891985	2065.540894	10502.34105	10976.29376	7137.781411	2129.056096	5732.048498	6307.369347	3156.647784	9869.496869	3645.130343	2551.768148	5288.961627	2405.899625	3958.503012	5480.721094
bOTU_1	9978.879502	1589.455958	4634.469937	406.0671235	973.1431554	121.041364	14807.73127	247.408238	0	334.4237428	148.2563892	8136.442158	12098.16809	24047.41643	18248.08838	23126.41177	15643.93392	24191.18773	26102.80545	20279.07061	25504.34339	28987.46511	15204.28521	11705.07901	19247.197	14768.26124	24587.1238
bOTU_723	97.83215198	1324.546632	85.82351736	568.4939729	417.0613523	121.041364	0	0	784.2330586	501.6356142	148.2563892	142.7445993	2557.336345	490.7636007	137.203672	1237.215445	1943.920783	2623.140838	0	1052.215928	0	173.5776354	637.9420369	346.8171559	300.7374531	609.0004634	0
bOTU_200	195.664304	1147.940414	1029.882208	974.5610964	834.1227046	847.2895481	382.9585672	1113.337071	1666.49525	1003.271228	889.5383354	0	2163.899984	1079.679922	960.4257042	190.3408376	1388.514845	680.0735506	776.291612	95.65599344	1758.920234	1215.043448	0	0	0	609.0004634	152.2422526
bOTU_102	195.664304	5033.2772	343.2940694	1624.268494	3058.449917	2662.910008	1914.792836	3216.307093	10097.00063	4347.508656	7264.563072	3283.125783	0	588.9163208	411.6110161	666.1929317	1758.78547	97.15336437	97.03645149	0	0	0	106.3236728	0	0	456.7503476	0
bOTU_412	97.83215198	0	171.6470347	81.2134247	139.0204508	0	893.5699902	371.1123569	196.0582647	167.2118714	296.5127785	570.9783971	0	196.3054403	137.203672	95.17041882	0	0	97.03645149	0	390.8711631	86.78881769	531.6183641	0	300.7374531	0	304.4845052
